S.N.,plot_id,clump_sn,culm_sn,stump_ht_cm,sample_sn,sample_id,species_code,latin_name,species_name,d30,dbh,base,ht_culmination,length_m,nodes,culm_thickness_cm_bh,remarks,total no of samples,remarks,gree_wt_culm_kg,gree_wt_branch_kg,gree_wt_foliage_kg,total_biomass
11,1-62- Y-20,C4,2,30,M,1-62- Y-20-C4-M,413,Dendrocalamus hamiltonii,D. hamiltorii,6,5.2,4.1,10.3,13,26,0.9,NA,27,,7.65,0.195,0.1,7.945
11,1-62- Y-20,C4,3,30,L,1-62- Y-20-C4-L,413,Dendrocalamus hamiltonii,D. hamiltorii,10.3,10,9.1,18.7,22.4,54,1.2,NA,28,,42.517,2.465,3.335,48.317
11,1-62- Y-20,C5,1,30,S,1-62- Y-20-C5-S,405,Bambusa cupulata,B. nutans,5,4.9,1.6,10.3,12,32,0.7,NA,29,,7.77,1.31,2.11,11.19
11,1-62- Y-20,C5,2,30,M,1-62- Y-20-C5-M,405,Bambusa cupulata,B. nutans,6.9,6.8,3,14.6,17.7,42,1,NA,30,,16.1,1.12,1.88,19.1
11,1-62- Y-20,C5,3,30,L,1-62- Y-20-C5-L,405,Bambusa cupulata,B. nutans,8.8,8.8,5.2,13.8,21.1,38,1,NA,31,,30.82,2.8,4.47,38.09
12,1-26-Y-11,C1,1,25,S,1-26-Y-11-C1-S,405,Bambusa cupulata,mal bans,4.4,4,1.8,8.3,10.5,28,0.8,NA,32,,4.245,0.185,0.465,4.895
12,1-26-Y-11,C1,2,20,M,1-26-Y-11-C1-M,405,Bambusa cupulata,mal bans,6.5,6.3,2.1,9.7,11.2,32,1.1,NA,33,,10.48,2.01,1.92,14.41
12,1-26-Y-11,C5,1,30,S,1-26-Y-11-C5-S,404,Bambusa nepalensis,choya bans,4.5,3.8,5.3,7.4,10.5,27,0.8,NA,34,,4.245,0.145,0.23,4.62
12,1-26-Y-11,C5,2,30,M,1-26-Y-11-C5-M,404,Bambusa nepalensis,choya bans,7.2,6.7,7.2,15.4,19.1,52,0.9,NA,35,,19.48,0.295,0.54,20.315
12,1-26-Y-11,C5,3,25,L,1-26-Y-11-C5-L,404,Bambusa nepalensis,choya bans,10.6,9.8,3.6,16.4,20.5,53,1.2,NA,36,,33.35,2.59,1.54,37.48
13,1-26-Y-12,5,1,30,1,1-26-Y-12-5-1,414,Dendrocalamus hookeri,Bhalu Bans,6,6.2,2.2,13.5,15.8,45,0.4,NA,37,,10.767,2.962,1.1,14.829
13,1-26-Y-12,1,1,25,2,1-26-Y-12-1-2,414,Dendrocalamus hookeri,Bhalu Bans,10.9,10.8,3.2,15.3,18.4,53,1,NA,38,,43.65,3.865,1.3,48.815
